"filename", "language", "PHP", "comment", "blank", "total"
"/home/torsten/php/src/Model/Con/Mypdo.php", "PHP", 16, 0, 10, 26
"/home/torsten/php/src/Model/Main/Model.php", "PHP", 73, 12, 31, 116
"/home/torsten/php/src/Model/Pdoartikel.php", "PHP", 13, 0, 11, 24
"/home/torsten/php/src/View/Detail/Artikel/Allartikel.php", "PHP", -9, 0, -6, -15
"/home/torsten/php/src/View/Detail/Artikel/Editartikel.php", "PHP", -18, 0, -8, -26
"/home/torsten/php/src/View/Detail/Artikel/Newartikel.php", "PHP", -16, 0, -7, -23
"/home/torsten/php/src/View/Detail/Artikel/Oneartikel.php", "PHP", -10, 0, -6, -16
"/home/torsten/php/src/View/Detail/Home/Viewhome.php", "PHP", -4, 0, -4, -8
"/home/torsten/php/src/View/Detail/Start/Viewstart.php", "PHP", -6, 0, -8, -14
"/home/torsten/php/src/View/Viewartikel.php", "PHP", -28, 0, -3, -31
"/home/torsten/php/src/View/Viewfehler.php", "PHP", -2, 0, -1, -3
"/home/torsten/php/src/View/Viewindex.php", "PHP", -43, 0, -5, -48
"Total", "-", -34, 12, 4, -18
